차수|경위|사육두수|신고일|확진일|X|Y|px|py
71|신고|9|2023-10-31|2023-11-01|126.7868825|36.8282165|936406.6895|1870238.351
72|신고|6|2023-10-31|2023-11-01|126.4002491|36.7296586|901801.4259|1859631.832
73|신고|4|2023-10-31|2023-11-01|126.4861425|36.6511056|909379.0883|1850833.14
74|신고|48|2023-10-31|2023-11-01|126.4367702|36.7035072|905030.3755|1856693.95
75|신고|17|2023-11-01|2023-11-02|126.4197781|36.8869619|903742.4038|1877062.475
76|예찰|9|2023-11-02|2023-11-03|126.4372675|36.7027118|905073.8184|1856605.221
77|신고|85|2023-11-03|2023-11-03|126.4111314|37.6901087|903997.8873|1966175.59
78|예찰|12|2023-11-03|2023-11-04|126.7936799|36.8600504|937038.9726|1873765.271
79|예찰|20|2023-11-05|2023-11-06|126.5651195|36.9197046|916729.5855|1880558.085
80|신고|13|2023-11-06|2023-11-06|127.7886016|37.0095581|1025675.451|1890156.587
81|신고|66|2023-11-06|2023-11-06|128.4145285|38.3866426|1079870.55|2043296.055
82|신고|158|2023-11-06|2023-11-07|126.4526597|36.9734477|906777.9361|1886624.305
83|예찰|23|2023-11-06|2023-11-07|126.5679538|36.915774|916977.7836|1880119.569
84|신고|55|2023-11-06|2023-11-07|126.3847438|36.6649842|900333.4171|1852473.272
85|신고|124|2023-11-07|2023-11-08|126.972395|36.3398301|952652.864|1815955.811
86|신고|9|2023-11-08|2023-11-09|126.4261189|36.748359|904134.7226|1861680.133
87|신고|30|2023-11-08|2023-11-09|126.4730653|35.4965615|906858.5012|1722781.794
88|신고|5|2023-11-09|2023-11-10|126.428224|36.7247509|904293.3449|1859059.089
89|신고|47|2023-11-10|2023-11-11|127.7920284|37.005599|1025981.664|1889718.319
90|신고|8|2023-11-10|2023-11-11|126.8025872|36.7136877|937714.6215|1857523.186
91|신고|93|2023-11-10|2023-11-11|126.5077302|35.4921914|909997.7885|1722264.93
92|신고|127|2023-11-12|2023-11-13|126.4538736|35.4605361|905075.4319|1718804.466
93|신고|78|2023-11-12|2023-11-13|126.522266|35.513857|911340.093|1724654.716
